ID,output
ID_10399,깜짝 놀랐어요! 뷰가 정말 정말 좋아요! 다들 즐거운 여행 되세요 ㅎㅎ
ID_02051,최고예요! 무조건 재방문입니다.
ID_02541,모텔 수준의 방음. 옆에서 말하는 소리 다 들림. 한숨도 못 잡니다.
ID_01301,"문도 제대로 안 닫히고, 냉장고는 계속 덜덜거려서 시끄럽고, 화장실 세면대가 불편해요."
ID_05877,이 가격에 고급짐! 송정 최고 호텔
ID_07368,"청소 요청을 여러 번 해도 안 해줌. 로비에서는 처음 청소를 담당자에게 요청했을 땐 ""메이드가 왜 그랬지.."" ""손님 방 말고 다른 방도 청소가 안 됐네요"" 하며 대꾸라도 하더니 두 번째 요청 땐 '또 저러네 귀찮게'라며 쳐다보지도 않음. 다시는 묵지 않을 예정. 그 누구에게도 추천하지 않을듯."
ID_01304,대만족!! 온천 짱!! 침대도 너무 포근해서 꿀잠 잤어요. 가본 호텔 중 가성비 짱인 듯 ㅎㅎ
ID_08428,"처음 이용해 보는 테마 모텔, 침구류 정리도 깔끔하게 잘 되어 있고, 내부가 생각보다 넓어서 편하게 이용했어요. 창문으로 보이는 동강 뷰가 기억에 남네요~^^"
ID_10241,호텔이 너무 이쁘고 시설도 좋아서 다음에 또 올 것 같아요 ㅠㅠ 광안리 와서 아무 호텔이나 들어간 건데 너무 좋았어요 ㅎㅎ
ID_02599,"위치도 좋고 깨끗하고 편히 잘 쉬었습니다. 그런데 체크인할 때 프론트 직원 때문에 별로였네요. 말이 너무 빠르면 발음이라도 정확히 알아듣게 하던지, 일부러 그러는 건지 기분이 나빴고 호텔에서 그렇게 일하면서 월급받아도 되나 싶었습니다. 다시는 만나고 싶지 않네요."
ID_02573,"샤워실 냄새, 수압이 약해요."
ID_03186,호텔 1 계속 오고 싶어서 계속 보고 있다가 드디어 광안리에 놀러 오게 돼서 묵게 됐어요 아쉽게도 늦게 예약해서 오션뷰는 아니었지만 마운틴뷰도 너무너무 좋아요!!!!! 방도 생각보다 넓어서 너무 만족스러웠고 청결은 말할 것도 없어요! 거기다 웰컴 간식까지 줘서 아주 만족스러운 밤입니다. 주변에 놀 곳도 많고 광안대교 바로 앞에 있어서 다음에도 꼭꼭 재방문할 예정입니다. 추첨 드려요!!!!! 
ID_02768,"가지 마세요, 일방적으로 예약 취소당했습니다. 전화상으로 통화했는데 사과도 없고 배째라 식으로 너무 띠겁게 말씀하시네요. 최악이에요."
ID_04831,주차가 조금 빡센데 직원분들이 친절하시고 방은 깔끔하고 좋아요 
ID_04223,"이그제큐티브로 다녀왔는데, 하나 느낀 건 밥도 부지런해야 먹는 거구나를 느꼈습니다. 다른 분들은 사우나도 갔다는데, 그럴 체력이 없었습니다. 그냥 먹느라 하루가 홀랑 지나갔어요. 돼지는 살찌우면 팔기라도 하지, 저는 뭐… 근데 역시 신라 제과는 최고더라고요. 먹자마자 눈이 번쩍 뜨였어요. 그때 먹은 다쿠아즈는 진짜… 정말… 나중에 죽거든 제사상에 올려달라고 하고 싶을 정도입니다."
ID_10873,"장점: 송정 해수욕장 근처라 위치적으로 좋음. 해수욕하고 씻고 들어갈 수 있는 곳 있음. 근처 블루레일파크역 있음. 가격이 근처보다 가성비가 좋다. 다른 모텔보다 넓은 것 같다.   단점: 층간 소음이 심함. 특히 발뒤꿈치 찍는 소리, 높은 의자 끄는 소리가 나고 옆방 소리 들림. 아침 일찍 청소를 해서 시끄러움. 방에 거울이 없어 화장실에서 모든 걸 해야 함. 입구에 락스 냄새가 많이 남. 장기 숙박은 스트레스를 불러옴."
ID_02106,엄청 깔끔하고 편하고 좋습니다ㅎ 가격도 다른 호텔에 비해서 저렴하구요. 다음에 또 가고 싶은 호텔이네요ㅎ
ID_02679,"뷰가 이쁘고 시설이 깨끗해서 너무 좋습니다. 단, 화장실이 너무... 너무... 왜 유리문인가요? 잠금장치가 없는 것은 안전을 위해 그렇다고 쳐도, 왜 화장실 문이 위에 다 뚫려 있고 투명한 유리문인가요? 환풍기가 냄새도 잘 못 빨아들입니다. 커플이 묵을 예정이라면 응가는 로비에 내려가서 보시길 바랍니다. 안 그러면 헤어질 수 있어요. "
ID_01387,해운대에서 저녁 식사 후에 오킴스 펍에서 맥주는 진리지요! 바다가 가깝게 보이는 뷰가 참 좋아요! 외국인 친구들 한국에 오면 데려가기 좋아요.
ID_10062,직원분들이 친절하고 데크 사이즈도 적당해서 해수욕하기 좋은 곳 같아요.
ID_10884,깔끔하고 쾌적해요!! 직원분들도 너무 친절하십니다.. 급하게 잡은 숙소였는데 너무 잘 쉬고 가요. 감사합니다 ♡
ID_07083,"이 지점.. 건물 방음 유독 안 됨. 코고는 진동 소음 때문에 못 잤음ㄷㄷ TV 울리는 소리야 뭐 그렇다 치더라도… 해변가 바깥 소음은 별로 안 시끄러운데 성수기에 가면 어떨지 모르겠음. 1층 화장실.. 세면대 물 안내려가서 그런지 누가 조식 먹고 양치한 음식물 그대로 있어서 우웩. 그리고 계단 가는 방화문 닫아야 할 텐데 청소하신다고 그러는지 닫아도 열리네요. 조식은 1층이고 커피 뽑아 마시는 기계 있는데 사용 시간이 정해져 있음. 면도기, 치약, 칫솔 이젠 안 주고 1층에 자판기에서 2천 원 주고 살 수 있음. 무상 안 되는 건 환경법 때문이라고 함. 청소는 그냥 나쁘지 않았다. 침대에 돌돌이 돌리면 먼지 조금 묻어나오는 정도. 건조해서 휴대용 가습기 들고 오던가 수건 널어야 할 듯. 옆 방인지 아랫층인지 여러 사람 코고는 소음만 안 들렸으면 괜찮은데…"
ID_01279,저번에 오고 좋아서 또 왔어요 ㅎㅎㅎ 너무 깔끔하고 광안대교 뷰 짱입니다!! ㅠㅠㅠ
ID_00804,방이 약간 좁지만 알차게 있을 거 다 있고! 무엇보다 뷰가 너무 예뻐서 진짜 뷰가 다 하는 곳이에요ㅠㅠㅠㅠ 다음에 와도 또 묵고 싶을 정도입니다 ㅎㅎㅎ
ID_01555,약 일주일 동안 잘 지내다 가요~   장점   - 친절한 직원들   - 무료 세탁실   - 여러모로 편리한 위치   - 깔끔한 호텔 관리    단점   - 한 명이 지내기엔 살짝 좁은 방
ID_10690,"장점: 가격이 다른 호텔보다 싸다! 새것이라서 깨끗하다!   단점: 엘리베이터가 딸랑 2대... 사실 3대인데 1대는 지하주차장~3층까지만 운행한다. 객실이 이렇게 많고 고층인데 2대는 좀 무리였다고 생각한다. 사람 많은 날 체크아웃하실 때 급하신 분들은 일찍 나가세요.   아쉬운 점: 아래 리뷰의 탁상거울을 받고 침대 옆 전등을 추가합니다. 없어도 어쩔 수 없지만 있었으면 더 좋았을 것 같아요ㅎㅎ 그리고 코인 세탁실이 지하에 있는 것도 체크인 할 때나, 아니면 안내용 종이에 적어서 알려주셨으면 더 좋았을 것 같습니다. 길게 적었는데 전체적으로 만족했어요."
ID_04566,서울 시그니엘에 비하면 너무 서비스 질이 떨어집니다. 객실도 서울에 비하면 작은 편이구요. 차오란에서 딤섬은 생각이 좀 나고 나머지 메뉴들은 잘 모르겠어요. 뷔페는 개인적으로 부산 내에서는 부산 롯데가 가장 맛있는 것 같아요. 그리고 식사하실 거면 뷔페는 낮이 좋은 것 같아요.
ID_10894,"주차 안내하는 젊은 남성분은 왜 그리 불친절할까요? 얼굴을 찌푸리며 짜증내는 말투로 응대하고, 바보를 가르치듯 대하던데, 뭐라고 해줄까 하다가 그냥 말았습니다."
ID_04841,"발렛 직원 좀 바꾸세요. 자리 많은데 본인 휴게실에서 멀리 세우기 귀찮아서 발렛차를 굳이 저희 차 앞에 세워놓으시고, 저희가 힘들게 피해서 빼다가 벽에 긁히니 그제서야, ""어~ 빼드려요?"" 하면서 어기적어기적 나오시는 건 뭐죠? 계속 보면서 다른 직원들과 수다 떨다가 사고가 나니 나오시네요. 발렛 주차도 자리가 텅텅 비어있는데 굳이 저희 차 앞에 겹쳐서 주차하셨어야 했나요?"
ID_03594,전망이 매우 좋고 루프탑 시설도 다 좋아요!
ID_06035,갈 때마다 항상 좋아요
ID_06852,뷰는 잘 모르겠고 방은 좋았습니다.
ID_08705,2인실 조식 별로임. 겉만 좋음. 뚜벅이는 힘든 언덕 위라서 걸어다니기엔 안 좋음. 넷플릭스 안 나오고 바람 소리 많이 나고... 히터 소리 심함. 인테리어만 좋음. 욕실은 낡아서 기대 이하임. 숙소 조명이 노란색이라서 잠자기만 좋음. 사우나도 남자 전용. 근처 편의점 두 곳인데 비쌈. 주변에 아무것도 없음. 시내로 나가야 함...
ID_04177,"높은 층은 뷰가 괜찮고 방이 작지만 구성은 무난한 편입니다. 가격이 저렴하며 위치도 괜찮네요. 단, 청소가 아쉬웠습니다. 특히 베개 커버에 곰팡이가 많이…"
ID_01308,"좁다 해서 많이 걱정했는데, 둘이서 보내기 딱 좋습니다! 통유리라서 폭염에 많이 걱정했는데, 에어컨도 빵빵해서 완전 시원해요ㅠㅜ 주차장도 따로 있어서 많은 인파일 때도 주차 걱정 없쥬? 가성비 짱짱 호텔~ 강추해요 대신 폼클리너랑 칫솔은 꼭 챙겨오세요!"
ID_09106,매너 타임이 안 지켜집니다. 밤새 차량 시동을 켜고 끄면서 불이 들어오기도 하고 너무 불편했는데 관리실에서 어떤 제재도 없었습니다. ㅠㅠ 그게 너무 힘들었습니다. 사이트가 넓은 것은 좋았고 관리하시는 분들은 친절하셨어요. 샤워실과 화장실 시설은 사이트 수 대비 적어 불편한 부분이 있었습니다.
ID_03452,시대가 어느 시대인데 중앙 난방을 하고 있노? 더운데 온도 조절 안됨 최악
ID_03695,"숙소(트리플룸) 별 기대 없이 왔는데 침대, 테이블, 바닥 공간이 모두 넓어서 아기 있는 4인 가족이 편하게 잘 묵고 갑니다. 일찍 일어나는 아이들 때문에 아침이 걱정됐는데 공용 주방에 정수기와 전자레인지가 있어 간단히 먹일 수 있어 그 또한 좋았고요. 주차장을 무료로 이용할 수 있어서 너무 좋았습니다. 저희는 다음에도 또 올 거지만 고급 호텔을 원하시는 분들은 실망하실 것 같아요."
ID_04242,"춘천 여행 중 급하게 묵었던 곳인데 객실이 깨끗하고 냄새가 안 나서 좋았고, 조식으로 나오는 샌드위치도 부담 없이 먹기 좋았어요. 다음 강원도 여행 시 여자친구랑 또 방문할 예정이에요~"
ID_02198,바로 앞이 바다라 그건 좋은데 방 내부의 청결도는 낮았음. 베개에 머리카락이 ...
ID_08966,"위치가 너무 좋았어요. 바로 앞에 바다가 있고, 안에서 뷰를 보고 있는 것만으로도 힐링이 되네요."
ID_04425,정말 wow 명불허전 삼척 명승지 1층 해상 바비큐는 정말 최고!
ID_06150,5성급 호텔에 오이 비누가 웬 말이냐.
ID_00943,재방문 의사 × 500. 최고의 선택. 혼자 여행 가서 외국인 동성(여성) 친구들도 많이 만나서 놀다 왔습니다. 캡슐 호텔 뷰 맛집. 진짜 최고의 추억. 완전 깨끗. 뷰 천국. 기절. 재방문 의사 500번.
ID_00822,"호캉스는 워커힐이지. 한강 뷰, 마운틴 뷰 뭐든 좋음. 편의 시설도 최고."
ID_05005,"정말 친절한 사장님! 들어올 때, 나갈 때 좋은 말씀 해주시고 오션뷰에 방도 깨끗하고 스파도 너무너무 좋았어요♡ 1층에 매점도 있고 바다가 바로 코앞이라 밤에 불꽃놀이도 재밌게 했네요ㅎㅎ 바베큐 시설은 이용 못했지만 깔끔한 것 같더라고요~ 특히 2층에 안마의자 두 대가 있는데 진짜 너무너무 시원해요. 일정 끝나고 밤에 받았는데 최고!!"
ID_06612,"최악 화장실 곰팡이 천지에 에어컨은 썩은내, 방충망은 검회색.. 숨 쉴 때마다 곰팡이를 마시는 기분."
ID_08356,깔끔하고 쾌적하며 아늑하고 너무 좋아요
ID_05619,방이 깔끔하고 위치가 괜찮아 만족스러웠습니다. 신축이라 룸 컨디션이 좋습니다.
ID_04547,"장점: 해변이랑 가까워서 좋음   단점: 복도나 실내(방안)에서 정숙해달라고 복도 벽면에 크게 써있지만, 그 외에 문자 + 안내문 등등 계속 조용히 해라 조용히 해라... 다른 분들 후기를 보니까 방음이 안 된다는 말이 있던데 생활 소음이 약간 들리기는 하지만, 다들 눈치 보여서 조용조용 다니시는 것 같았어요."
ID_02538,프론트 직원이 말귀를 못 알아먹음 ㅋㅋ 뷰는 좋음
ID_09503,위치가 최고예요. 딱 조용하고 좋아요. 방은 좁은 편이에요. 그냥 깔끔하고 직원이 아주 친절합니다.
ID_05207,"호텔이긴 한데, 약간 고급진 모텔 같은 느낌. 식당과 술집이 즐비한 골목 안에 있지만 신축이라 깔끔하고, 스타일러가 있어 좋다. 괜찮은 가격에만 나온다면 자주 이용할 듯."
ID_10721,단풍이 절정일 시기에 남산 뷰로 가면 최고에요. 지상 낙원이임. 조식 괜찮아요.
ID_10148,"엄청 관리가 잘 되어 있고, 세심하고 친절한 사장님이 운영하고 계십니다. 나무그늘에 뷰도 최고예요~ 너무 잘 쉬다 갑니다."
ID_03054,"프런트 로비 직원 친절, 주차장 관리 직원 불친절"
ID_03675,재방문 의사 100%
ID_07776,가격에 비해 뷰도 좋고 시설도 괜찮았어요!!!
ID_07218,오션 뷰가 예쁘고 시설이 깨끗해요.
ID_06722,"침구도 깨끗하고 청소 상태가 정말 좋았습니다. 근처 이용할 곳이 있어서 사장님께 여쭈었는데, 친절하게 잘 설명해 주셔서 일정에 많은 도움이 되었습니다."
ID_03300,출장용 호텔 가성비 최고~~~
ID_03310,룸 컨디션은 좋습니다. 조식도 괜찮습니다. 뷰는 호불호가 있네요. 광안리 해수욕장 뷰입니다. 광안대교는 뷰가 없습니다.
ID_07221,관리 잘 된 오래된 호텔입니다. 깨끗하지만 들여다보면 룸 시설들이 노후화되어 있어 겪는 불편함이 조금씩 있습니다. 하지만 위치와 가격을 생각하면 이만한 곳은 없다고 생각합니다.
ID_08519,따뜻하고 깔끔한 곳이어서 잘 자고 왔어요~ 다음에 근처에 갈 일이 생기면 또 갈 생각이 있습니다~ㅎㅎ
ID_05954,주차장이 있는 안쪽 건물에서 잤는데도 도로에 차 소리가 시끄러워서 잠도 잘 못 잤어.
ID_00832,야외 수영장 베리 굿.. 숙소 옆 방 소음이 너무 잘 들림......
ID_03462,성수역에서 3분 거리 대로변에 위치해 있어서 찾기 너무 편했어요. 위치 좋아요.
ID_10513,"호텔 말고 사우나만 이용했어요. 목욕탕은 진짜 작아요. 작은 탕(냉, 온) 2개랑 샤워기 4대, 찜질방 1칸. 끝. 호텔이라 깨끗하구요. 성인은 1만원, 초등학생까지는 5000원이구요. 성인은 만원에 키트까지 선물 주더라구요. 호텔이라 수건이랑 시설은 깨끗해요. 아쉬운 점은 의자랑 손에 들 수 있는 샤워기가 없어서 당황했어요. 의자라도 비치해주면 별 5개 할 수 있는데.. 좀 아쉽네요."
ID_07643,"늦은 시간 하산해서 식사도 못했는데, 다행히 소소한 먹거리를 제공해주셔서 너무 감사했어요. 온천욕까지 아주 편안하게 너무 잘 쉬었다 왔습니다. 특히 하얀 침구류가 너무 청결해서 주인의 마음을 느낄 수 있었습니다. 내년에도 방문 계획이 있는데 꼭 다시 뵙길 ~~"
ID_00054,가성비 좋아요. 청결하고 잘 묵고 갑니다.
ID_03451,히노끼 숙소는 정말 최고입니다.
ID_06305,"새로 오픈한 호텔이라 전반적으로 깔끔하고 조식도 종류가 다양하지는 않지만 맛있었어요. 호텔 근처에 이마트, 배스킨라빈스, 회센터, 다이소가 있어서 좋아요~ 루프탑 수영장도 크기가 크진 않지만 아침 일찍이나 체크인 직후에 이용하면 쾌적하게 사용할 수 있고요! 다만 기계식 주차인 점과 객실 샤워실이나 세면대에 머리카락이 있는 건 아쉬웠어요."
ID_01481,"시설: 지은 지 얼마 안 돼서 깔끔하고 쾌적. 위생: 수건, 이불, 가운이 빳빳하니 아주 만족. 서비스: 최상. 여느 호텔 부럽지 않음. 직원분들 진짜 친절. 위치: 역이랑 가깝고, 주변 여행지 멀지 않음. 컨디션: 가성비 좋음. 이 가격 비즈니스 호텔 이 정도면 굿. 스타일러, 컴퓨터 사용 가능해서 편함. 재방문의사: 100% 깔끔하고 오픈되어 있어서 아무 때나 맘 편하게 와서 쉴 수 있는 분위기. 로비도 식물이 많아서 잠시 앉아 커피만 마셔도 좋을 듯."
ID_04873,"별 1개도 아깝다. 시설은 좋아, 인정. 친절 따위는 버리고. '갑' 정신으로 무장한 듯."
ID_08038,뷔페 맛있어요. 부산 위쪽에 유일하게 있는 5성 호텔입니다.
ID_03335,4~6만원에 대한 가성비는 괜찮아요. 그 이상은 기대하면 사치.
ID_06016,사장님이 전화를 씹어요.
ID_04926,"평일에 1박했는데, 청결하고 조용해서 넘나 좋았던 기억 ㅎ"
ID_09138,"스위트룸은 5호 라인이 10호 라인보다 뷰가 더 예뻐요. 그래도 뭐 꽉 막힌 도시뷰기는 하지만 이왕이면요. 예약에 참고하세요! 근데 부대 시설이 영 별로입니다. 특히 수영장과 헬스장은 기대도 하지 마세요. 스위트 이용객 라운지도 따로 없어요! 서울 시내에서 방에서 그냥 편하게 쉬고, 근처에서 쇼핑하고 그럴 때 오기 괜찮은 것 같아요. 근데 차라리 조금 더 조용하고 차분한 곳으로 찾지, 여기는 또 오고 싶지는 않을 것 같아요. ㅎㅎ"
ID_05797,젊은 사장님의 친절함에 감동! 깨끗한 호텔 - 최근에 리모델링 하셨다네요. 무엇보다 침구가 마음에 들었답니다. 잘 지내다 갑니다!!!
ID_11070,평생 이런 곳에서만 살고 싶어요 ㅜㅜ 너무 좋았어요.
ID_05083,깨끗하고 넓고 아주 좋았어요. 샤워실 물 새는 거 방지용 문만 달아주셨으면 좋겠어요. 변기 쪽에 물이 고이는 게 잘 안 빠지더군요. 그 점 빼면 다 완벽합니다.
ID_06645,강원도에 여행 왔다가 들렀는데 짱 좋았습니다 ㅎㅎ
ID_05490,화장실에서 벌레가 나옵니다.. 천장이 낮아 답답하고 시설이 노후된 편입니다....
ID_00768,"23년 8월 27-28일 신관을 이용했는데 1박에 50만 원 주고 다시는 안 갈 것 같아요. 프론트 여직원이 무뚝뚝하네요. 청소하시는 분들이 더 친절하네요. 예약 시 3명으로 했고 체크인 시 3명이 투숙한다고 했는데 2명으로 되어 있어서 수영장 이용하려니 추가 비용 내라고 하더군요. 5성급 호텔이 맞나 싶었어요. 처음부터 한 명 추가 비용을 받던지, 뭔가 체계적이지 않은 것 같아요. 다음에 해운대 갈 때는 주변 다른 호텔 알아봐야겠어요. 비추천"
ID_02065,뷰 하나만 보고 온 호텔인데 그 이상입니다!! 광안리 해변 바로 옆이라 위치도 너무 좋고 방에서 보이는 뷰가 처음부터 끝까지 부산 여행을 장식합니다ㅎㅎ 게다가 오션뷰에 이 정도 가격인 방이 잘 없다는 것까지 감안하면 최고예요!! 다음에도 다시 방문할 것 같습니다. 잘 쉬다 갑니다~~
ID_10705,여긴 믿고 오는 곳입니다.
ID_07311,싸게 갈 수 있으면 그럭저럭 갈 만한 곳. 공간은 넓은데 활용이 좋지 않음.
ID_08477,"오션뷰로 이 가격이면 진짜 괜찮은데, 옛날에 비해서 너무 별로네요 ㅋㅋ 현재 투숙 중이고 와이파이 연결도 잘 안 되어 있어서 지금 제 데이터를 쓰면서 이 리뷰를 적고 있습니다 ㅎㅎ 방음도 너무 안 되니까 옆방 문 닫는 소리까지 다 들려요. 예전에 첫 방문 때는 좋았는데, 이젠 재방문이 없을 것 같아요~"
ID_11189,소탐대실의 전형적이고 교과서적인 사례
ID_04524,"프론트 전화 연결 안 됨. 카톡으로만 대응 가능. 비상약 없음. 편의점 및 생필품 사는 곳 없음. 맥주는 지역 맥주 라거와 에일만 판매함. 룸서비스 없음. 치킨 픽업 서비스 8시 전후 주문 시 30분 넘게 웨이팅했음. 비상계단은 비상 시만 이용 가능, 비상계단으로 2층 갈 수 없음."
ID_02717,"최악입니다. 바닥 청소 안 되어 있고 옷걸이가 하나라 요청했더니 꼭 써야겠냐고 되묻는 직원, 전화기, 헤어드라이기 고장, 곰팡이랑 머리카락 남아 있는 욕실, 오래돼서 헤진 수건, 침대 메트리스에 매직으로 쓴 낙서가 있어도 그냥 쓰시더라고요. 호텔이라고 하는 모텔인 건 인지하고 갔음에도 전에 해운대에서 2만 원 주고 묵었던 모텔이 더 나았습니다. 여기 갈 바엔 그냥 모텔 가세요. 수리 보수 하실 생각은 없고 있는 대로 장사 안 될 때까지 하다 닫으려는 호텔 같습니다."
ID_02079,"깨끗하고 오션뷰가 멋지며, 파도 소리까지 잘 들리는 손에 꼽히는 좋은 숙소입니다. 주변에 강추강추 하고 다시 또 오고 싶어요."
ID_08914,"<단점>   1. 소음: 7번 국도와 붙어 있어요. 밤새 시끄럽습니다. 파도 소리 + 바람 소리 + 차 소리. 힐링은 바이~~   2. 매너 타임: 매너 타임을 관리하시는 분이 없습니다. 일부 매너 없으신 분들이 밤새 불 피우고 이야기합니다. 바닷바람으로 인해 가로 방향으로 바람이 불어서 텐트에 연기 냄새가 배었습니다.   3. 가성비 ㅠㅠ    <장점>   1. 화장실 깨끗, 샤워실 깨끗, 수압 좋음   2. 바다 뷰는 정말 예쁨   3. 가까운 개수대, 자주 치우심   4. 근처 하나로마트 로컬 푸드"
ID_00951,"조식 먹으러 갈 때 엘리베이터 기다리는 게 좀 빡센데, 엘리베이터 빼면 가성비 측면에서 전반적으로 아주 훌륭했음!"
ID_08058,별로예요. 욕실 습기 제거가 제대로 안 되었는지 곰팡이 냄새가 계속 나고요. 직원을 알바로 쓰는지 전문적이지 않아 보임. 모텔급 아쉽네요.
ID_02482,"빙수, 시원하고 맛있습니다. 우유빙수가 좀 더 고소했으면 좋았을 텐데요. 주차도 편하고 재방문 의사가 많아요."
ID_09181,주변은 조용하고 아울렛과 바다와 가까움. 식당은 뷰가 좋지만 음식은 다양하지 않음.
ID_01759,"냉정하게 평가하면 아주 오래된 60년대 호텔입니다. 거기에 비해 로비의 고객 응대는 아주 좋았습니다. 조식도 가격 대비 좋았다고 남편이 그러더라고요. 하지만 전 느낌이 좀 그렇더라고요. 화장실 변기나 바닥 청소 상태는 괜찮았지만 세면대에는 머리카락이 여기저기 있고, 어메니티는 그냥 모텔 수준입니다. 1층 라운지에서는 오래된 식당의 퀴퀴한 냄새가 났습니다. 남편이 숙소 예약하겠다고 했을 때 말려야 했어요. ㅠㅜ"
ID_09984,친절하고 편안한 숙소 데스크 여성분 너무너무 친절해요.
ID_04422,사장님이 엄청 친절하셔서 자주 머물다 갑니다!!!
ID_06704,"휴가 기간이라 방문했는데 시설이 넘 깨끗하고 모던해서 좋았어요~ vvip룸이었는데 수영장에 바베큐 시설까지~ @.@ 펜션보다 훨씬 깨끗하고 편리한 것 같아요. 간단한 요리도 안에서 해먹고... 조식 서비스도 있어서 좋았어요. 스타일러도 있어서 꿉꿉한 옷 말리는데 넘 좋았구요. 침구도 깨끗하고 편의 용품도 넉넉해서 좋았어요~ 아, 그리고 빔프로젝터도 있어서 영화 보기도 좋고.. 앞으로 동해 오면 숙소는 이곳으로 찜하려구요! 휴가 동안 편히 잘 쉬다 왔습니다!! ^^"
ID_09916,"저는 숙박하러 가면 침구를 중요하게 보는 스타일인데, 침구가 진짜 깔끔하고 좋더라고요. 간만에 좀 편하게 자고 왔어요~~"
ID_05182,"저는 재방문의사 200%입니다.   장점: 1. 해수욕장, 지하철역, 전통시장, 블루라인 산책로가 다 가까워서 여기저기 돌아다니기 너무 편해요. 2. 호텔룸에서는 다른 건물들에 가려서 바다가 잘 안 보였는데, 애당초 뷰 기대를 안 하고 예약했던 거라 괜찮았어요. 대신 루프탑이 뷰가 끝내 줍니다. (사진은 아쉽게도 호텔룸에서 찍은 거라 뷰가 막혀있어요. 이것도 나름 멋있는 듯) 3. 직원분들이 정말 친절해요. 4. 이거 리뷰를 쓰게 된 계기이기도 한데, 신축 건물이라 그런지 정말 깨끗해요. 원래 남이 쓰던 것 찝찝해서 호텔에 투숙하는 걸 별로 안 좋아하는데, 저는 제가 처음 투숙객인가 싶을 정도로 모든 게 새거였습니다. 대만족!  단점: 1. 배치된 큰 수건은 털이 날려요. 수건은 깨끗한데 건조가 잘못된 건지? (다른 리뷰 보면 파킹 문제가 있었던 것 같은데, 저는 뚜벅이여서 파킹 문제가 해결됐는지는 잘 모르겠네요.)"
ID_08533,여기 계신 남자 세 분 모두 매우 친절하십니다. 여름 성수기가 안 와서 모르겠지만 주변이 조용하고 좋을 것 같습니다. 다음 달에 다시 방문하기로 했습니다. 
ID_03701,풀파티인가 나발인가 스피커 소음이 진짜 심하네요. 객실에서 조용히 쉬려고 하는데 스피커 소음 때문에 바로 짐 싸서 나왔음.
